,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,Hip13,Hip5,Hip10,Hip9,Hip6,Hip14,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip25,Hip17,Hip28,Hip18,Hip20,Hip27,Hip26,Hip19,QC HIP 1,QC HIP 2,QC HIP 3,QC HIP 4,QC HIP 5,Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx23,Cortx22,Cortx30,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3,QCCortx 1,QCCortx 2,QCCortx 3,QCCortx 4,QCCortx 5,QC Mix 1,QC Mix 2,QC Mix 3,QC Mix 4,QC Mix 5
1,2874.006371,2728.771558,5406.852003,4189.304329,5868.780589,3803.839172,4504.2508,4376.085032,3026.198554,5833.177447,4514.432585,4236.157864,5690.892474,2795.31133,4766.660211,3147.565709,7219.024691,5491.397725,4251.92126,3072.446292,5335.429398,3287.963961,3004.250465,3480.900075,3267.830391,3848.052156,2708.570869,2379.475911,3998.587942,2828.376635,3711.947927,3873.037638,3390.627519,3030.753689,3212.403262,2144.318925,4291.789578,5827.285951,4777.251328,4980.278499,5472.220781,3547.094559,3953.942628,5393.035639,5645.872394,9114.333122,6676.645832,5877.074729,5603.874751,5927.39503,4448.148452,5653.72861,5666.970659,6575.381453,4154.795128,5203.65763,5649.44156,7126.752549,5325.232485,2565.12786,4222.631568,5147.431486,4569.369429,4665.358858,6012.800023,5258.491449,4557.207802,4794.857275,4463.28743,4775.640701,5395.741786,3976.146077,4293.605466,3847.736011,3810.397391,4002.304651
3,6746.096551,6753.192479,4388.932062,6147.47056,5063.863399,2983.461498,4734.298716,5088.495413,6257.877012,4674.649697,6958.349084,5490.916083,4102.256842,4027.22058,4462.827772,5273.112222,5435.574467,4212.845386,5114.701437,2773.338229,3292.49031,4777.72812,5586.13546,8021.565301,4737.89177,4768.862534,4343.522445,2579.14373,5126.062736,3542.3971,4891.1643,4104.45193,3606.991731,3541.209751,3593.443091,6107.291593,6568.098308,4920.799658,4767.030886,4970.048917,4224.693226,6471.889615,5821.009126,5807.469073,6681.717049,5885.381751,5807.315884,4409.2465,5653.552967,5821.517873,6375.197082,5921.588844,6062.465261,6145.791207,5182.266178,4428.787048,5763.326702,3825.769401,6193.545512,6281.710475,5450.014934,6562.87968,7268.950168,4799.312379,3797.93763,4443.587591,5889.125431,4808.803696,4743.391414,4758.053051,4701.134454,4745.990918,4313.701591,4077.495033,4036.746152,4143.400276
5,3754.257808,4623.117773,4435.391038,4746.060075,4240.3598,4833.329206,4797.164965,4038.237201,5062.834972,4142.884957,4751.426421,4815.710711,4989.613787,4915.622905,4115.322255,4720.233375,4804.588518,4325.193611,4384.514579,4205.430059,4601.495759,4545.239989,3943.845413,4750.856907,4603.063064,4931.905858,4438.201828,4324.628304,4924.300138,4279.923798,4394.349295,4610.257336,4601.971225,4706.953131,4693.384944,3788.334733,4272.073678,4117.743217,4592.745439,4881.299728,4147.075742,4024.026631,4265.596644,4227.165603,4446.664892,3845.933523,4870.113245,4525.319807,3991.030594,5005.78041,4857.22848,3966.825274,4809.807337,5049.173396,4131.06115,4601.008009,4816.916727,4755.381023,3886.808052,3949.639582,4273.723748,4391.435305,4664.627217,4263.720224,4024.669582,4703.522664,3922.437995,4361.872241,4862.387277,4357.805268,4020.794737,4219.986588,4779.09672,4937.201721,5117.030188,4405.078682
6,3887.774755,3533.932521,3557.732149,3754.187335,3807.06369,2766.732237,3890.094644,3567.090044,3698.416561,2296.854657,4287.43307,4211.977283,3849.421046,2957.647835,2661.301507,3129.202667,3701.53111,3024.914518,3824.55885,2626.474319,4373.958967,4078.861244,3857.157566,3618.673813,3829.572519,3413.09407,2334.31365,2179.250571,4216.454861,3014.194134,3624.943192,4075.914473,4457.227322,4390.450069,4239.218384,5376.157575,4281.201436,7156.859995,4839.973449,4204.173678,4212.317228,4259.93973,5891.988312,4508.044693,4995.533298,5715.935819,6513.719107,5110.462643,5371.512238,4286.818747,4315.968664,6136.44945,4358.190868,6139.258049,5111.673027,5245.605058,5377.274976,5346.848023,4598.954333,4829.045166,4638.623623,5133.233024,5375.682991,6160.223018,4890.838063,4698.309419,4719.468255,6130.538137,6658.11098,6263.684533,6651.020934,4656.877475,5125.752139,5156.235108,5356.72773,5277.015579
7,11773.50392,8983.743012,8439.97635,9119.920846,13212.98718,3838.150293,8918.097711,4475.725622,9681.854028,10545.26123,8708.836429,7817.411109,5097.157348,5401.037752,5202.161086,7105.435429,7177.376858,5707.844512,4429.014176,3699.105999,1925.126407,5725.333031,8036.971575,8538.947969,5081.645718,8368.333518,7320.016289,2731.976691,6755.007019,2041.098176,5363.07718,4377.46536,4154.63282,3947.006404,3565.807055,10022.80229,8406.325918,6280.424646,7007.116708,8169.449137,5118.672013,10806.56853,9734.422708,9418.43531,7221.289973,8116.468575,5967.484957,6063.35621,7774.710555,8324.088256,13369.4431,6297.653146,9280.401287,6455.661757,7007.338422,5420.912159,8370.445284,3035.924391,9699.540424,10182.31797,7486.970111,6432.598844,7865.639196,6470.924938,4977.64211,6964.578361,8783.598875,5824.040454,6116.158037,6384.898807,6774.11397,6306.207982,5020.189001,4719.977912,4904.173475,4992.856411
8,5260.393666,4424.568738,5070.761905,3899.709311,11135.20114,1499.758167,5223.970654,2797.686994,5363.224533,4595.813891,4797.302257,3738.763765,3691.127616,2962.48987,2871.362611,5399.619518,5799.34563,2264.981236,3244.934843,2036.631005,1038.956037,5181.484676,4342.543491,3968.327857,2680.681306,3528.088764,3014.784536,984.8644648,3886.973682,442.0553371,4061.539396,4125.307323,3716.745327,4126.22082,4117.437268,6395.882187,5186.65693,4576.412564,3112.500292,4336.913004,3203.280368,7495.991314,7253.429154,8689.630713,6504.034552,8394.604254,6716.537735,8341.525796,10765.23434,9285.51377,7072.568152,2907.383483,7664.16396,6674.659674,5652.967424,3628.205053,8300.483538,2195.576369,5240.459122,6603.492153,3948.004663,3272.955621,4516.961528,5136.337616,3628.668304,6578.227248,6180.481708,6152.7697,7364.815871,8092.230872,9133.44162,5205.484954,5137.211094,5083.149751,5656.579427,5866.222279
9,6428.759073,7071.359756,5795.28419,5896.028865,6249.18819,3835.286738,4961.864796,5326.6772,6267.346055,5299.49112,5885.091112,5664.998336,4992.083715,5027.592786,5577.122986,6453.330966,7112.461798,5568.62674,5644.481019,4557.966671,6522.517513,5421.351858,5757.95756,6512.268211,4962.450821,4813.855929,5034.495759,3884.701756,6177.111174,3944.190807,6157.934916,5197.504664,5082.886938,5313.588875,5074.298277,6418.826072,6467.328178,5513.02253,6513.630949,5623.059557,5301.337312,6344.913056,5428.26875,7806.94571,7358.944202,7306.520616,6831.09153,5811.075139,6456.163013,6666.823974,5725.205544,6246.644012,5861.041659,6164.600306,5620.793524,5289.17649,6145.522769,5827.614016,7069.45487,5964.312154,6565.516062,5339.802341,5697.39901,5582.66949,6197.341254,5777.734668,7214.379544,6064.258974,5833.581094,5293.683297,6027.898648,6200.4691,5268.981155,5806.967053,5544.871109,5708.575735
10,9628.096337,10698.72067,6030.793773,6703.052416,6522.020018,3273.060447,6100.790319,4914.140157,8651.650052,4239.6692,6770.304407,6888.138376,4606.841386,4268.382605,4618.200015,6136.010024,8684.522412,4952.26604,4864.361528,3018.123439,6866.483652,5264.860811,7916.171575,8399.383483,4991.717805,5422.549296,3920.895665,2138.497168,7422.991011,3698.612682,5547.714202,4971.037858,4551.346878,4332.645101,4639.895463,9474.309967,8460.154178,9695.995346,9796.742399,6560.263663,5183.49534,7304.454922,8295.928376,11102.68179,8982.042214,8984.93719,11331.97522,5756.821446,5924.869329,5524.400676,6811.187686,10979.94438,7169.985464,10735.75706,5077.316777,8232.416475,7142.793119,6816.200309,9849.030434,7270.718055,9927.45195,6361.492472,10528.13056,7071.009259,6315.646379,5417.928563,10172.65617,7004.54928,6750.007993,7069.654585,7043.499373,6882.482448,5788.173467,4977.050917,5711.066001,5568.608592
13,17898.37274,15879.11203,8750.076177,8262.833888,11875.42136,3462.614881,8293.823382,4951.478339,20816.92279,6805.289249,12216.12631,9609.197832,4600.770123,5415.221726,4893.220581,8051.654913,10949.40106,3966.643382,5383.137687,3516.146475,3003.036355,6336.806091,11977.68005,10757.56133,6340.720474,6271.310944,5318.204255,3061.908564,7315.730475,2247.10756,7605.534846,6037.119522,5493.724686,5554.220253,5472.332769,17378.62969,11185.2989,11002.32102,8497.776341,9631.889188,6300.96791,9874.197004,13242.11998,15540.71766,8747.279294,9746.766866,9399.560812,8198.573385,9836.434968,7619.496642,17362.89328,6530.066103,10344.01852,9949.200209,8692.933022,7999.814935,8975.473725,3859.657203,13072.65491,18699.2452,12675.62028,7852.141731,8807.853641,8837.254491,6094.29118,7649.178497,15024.22256,8476.427545,8592.474436,9195.183252,9766.947271,8975.925129,7959.508153,7210.394791,7137.825377,7454.680596
14,14523.0127,11574.82769,9464.716289,9437.285235,14423.20321,4516.233265,10103.52119,6328.211027,11930.10886,11094.49377,11088.01626,9481.473067,6301.829242,6271.55923,6598.167958,11196.42732,10532.32586,6243.024528,5777.509261,4285.959385,3019.700909,7620.702324,11252.20902,9531.214898,6714.473081,8665.276415,8179.322013,3619.537719,8372.323506,2348.498462,8397.120806,6776.939084,6426.236363,6617.60765,6170.168283,12377.99815,9106.423359,8643.650968,8867.196313,9733.497946,6908.721562,11574.92233,11120.67961,10877.22467,9653.861018,9940.317894,7216.741322,8659.335741,10220.32277,10002.57637,15616.27091,7337.508882,11703.18142,8595.614847,9531.659565,6935.362894,10202.10288,3528.27281,11259.61805,12047.7154,9350.835733,7500.855427,9096.358091,8808.953079,5832.715753,7204.115278,13017.99567,9306.784041,8744.797805,9552.295515,9393.27098,8686.626472,8851.802342,7824.00742,7440.74508,7907.387234
